83"Yah Yah (feat. Royce Da 5'9""   Black Thought    Q-Tip & Denaun)"  Eminem
44"Leaving Heaven (feat. Skylar Grey)"  Eminem   11944780  https://open.spotify.com/track/5CpsIb7SMFHjmAG8RvIWfq
102"Little Engine"  Eminem   7913461  https://open.spotify.com/track/4qNWEOMyexn7b8Icyk29t9
70"No Regrets (feat. Don Toliver)"  Eminem   9493884  https://open.spotify.com/track/1lO9CZo6eDrOy0S7khgryG
72"Lock It Up (feat. Anderson .Paak)"  Eminem   9328951  https://open.spotify.com/track/1qwMkkRiD5jqLeUUjfgblh
73Marsh  Eminem   9260007  https://open.spotify.com/track/34d7sGX6WUqq8f04e7CSNF
74Stepdad  Eminem   9159901  https://open.spotify.com/track/3QVHSV8YKYq4L8tI5rnFgj
32"Unaccommodating (feat. Young M.A)"  Eminem   14792747  https://open.spotify.com/track/0q2vG0UVuy6ajjcpkQHdZM
4"Godzilla (feat. Juice WRLD)"  Eminem   40637125  https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
22"Those Kinda Nights (feat. Ed Sheeran)"  Eminem   16416620  https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH
52"In Too Deep"  Eminem   11348893  https://open.spotify.com/track/7Dj2wqPYXfSRFwa6qyOztr
57"Premonition - Intro"  Eminem   10830400  https://open.spotify.com/track/7ccTcabbJlCJiIqtrSSwBk
90"Never Love Again"  Eminem   8335790  https://open.spotify.com/track/40YbWniIEmqy6s58fYXLUh
30"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)"  Eminem   14947053  https://open.spotify.com/track/0GQ5bFTVFFKpwNPc7KwQnB
94Farewell  Eminem   8277608  https://open.spotify.com/track/74gykWHknHDrg4eMdcmdRq
26Darkness  Eminem   15658341  https://open.spotify.com/track/5SiZJoLXp3WOl3J4C8IK0d
100"Alfred - Interlude"  Eminem   8030151  https://open.spotify.com/track/4EmunTy7kNBYQivOa8F6b8
6"Life Is Good (feat. Drake)"  Future   34200687  https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
167"Dans l'espace (feat. Heuss l'Enfoiré)"  Gambi   5678754  https://open.spotify.com/track/2KAkkba3PaYFegfmYpUITv
115"Still Learning"  Halsey   7050815  https://open.spotify.com/track/2Mfv5HaqnI18Q9JRv9hqnn
112Graveyard  Halsey   7144766  https://open.spotify.com/track/2ufmtcIFdFpuUYBPXK5f67
16"You should be sad"  Halsey   19736651  https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
80"Without Me"  Halsey   8884872  https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
149Falling  "Harry Styles"   6130644  https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
24"Adore You"  "Harry Styles"   16285662  https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
121"Lights Up"  "Harry Styles"   6827679  https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
39"Watermelon Sugar"  "Harry Styles"   12650858  https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
129"Liberdade Provisória"  "Henrique & Juliano"   6736976  https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg
124Believer  "Imagine Dragons"   6807552  https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
78"LA CANCIÓN"  "J Balvin"   8939004  https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
195"QUE PRETENDES"  "J Balvin"   5259677  https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
99Blanco  "J Balvin"   8039574  https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
56Morado  "J Balvin"   11078196  https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
196"MIDDLE CHILD"  "J. Cole"   5241716  https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
136"OUT WEST (feat. Young Thug)"  JACKBOYS   6550101  https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
161"Say You Won't Let Go"  "James Arthur"   5832673  https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
81"No Me Conoce - Remix"  "Jhay Cortez"   8825480  https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
117Sucker  "Jonas Brothers"   7006878  https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
175"Only Human"  "Jonas Brothers"   5559780  https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
27"What A Man Gotta Do"  "Jonas Brothers"   15362782  https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
68"If The World Was Ending (feat. Julia Michaels)"  "JP Saxe"   9600536  https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
61"Lucid Dreams"  "Juice WRLD"   10226445  https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
53"Bandit (with YoungBoy Never Broke Again)"  "Juice WRLD"   11296952  https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
127Robbery  "Juice WRLD"   6738947  https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
76"Kein Wort"  Juju   9118365  https://open.spotify.com/track/1hoLUVBx0ixX3kn0EX0P5n
5Yummy  "Justin Bieber"   34586419  https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
3Tusa  "KAROL G"   41434019  https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
64Eleven  Khalid   9835375  https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
163"Can We Kiss Forever?"  Kina   5802085  https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
159"Get You The Moon (feat. Snøw)"  Kina   5849842  https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
166"Higher Love"  Kygo   5684696  https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
